DYNAMIC SCHEDULING --- 

MATRIX		ROWS	COLUMNS		THREADS	PREFORMANCE

mat1.bin	47300	390192    	1		0.0288037
mat1.bin	47300	390192    	2		0.00457377
mat1.bin	47300	390192    	3		0.00853342
mat1.bin	47300	390192    	4		0.0114157
mat1.bin	47300	390192    	5		0.00890854
mat1.bin	47300	390192    	6		0.0115672
mat1.bin	47300	390192    	7		0.0144651
mat1.bin	47300	390192    	8		0.0134553
mat1.bin	47300	390192    	9		0.0155458
mat1.bin	47300	390192    	10		0.0163433
mat1.bin	47300	390192    	11		0.0178215
mat1.bin	47300	390192    	12		0.0178721
mat1.bin	47300	390192    	13		0.019031
mat1.bin	47300	390192    	14		0.0194727
mat1.bin	47300	390192    	15		0.0194586
mat1.bin	47300	390192    	16		0.0197922
mat1.bin	47300	390192    	17		0.0204345
mat1.bin	47300	390192    	18		0.0208435
mat1.bin	47300	390192    	19		0.0218042
mat1.bin	47300	390192    	20		0.0217192
mat1.bin	47300	390192    	21		0.0227663
mat1.bin	47300	390192    	22		0.0224342
mat1.bin	47300	390192    	23		0.0220178
mat1.bin	47300	390192    	24		0.0221821

-----------------------------------------------------

mat2.bin	65086	461286    	1		0.0276381
mat2.bin	65086	461286    	2		0.00609829
mat2.bin	65086	461286    	3		0.00807454
mat2.bin	65086	461286    	4		0.0108831
mat2.bin	65086	461286    	5		0.0135522
mat2.bin	65086	461286    	6		0.0144918
mat2.bin	65086	461286    	7		0.0181956
mat2.bin	65086	461286    	8		0.0175055
mat2.bin	65086	461286    	9		0.0186258
mat2.bin	65086	461286    	10		0.0215098
mat2.bin	65086	461286    	11		0.021914
mat2.bin	65086	461286    	12		0.0229699
mat2.bin	65086	461286    	13		0.0226515
mat2.bin	65086	461286    	14		0.025178
mat2.bin	65086	461286    	15		0.0258823
mat2.bin	65086	461286    	16		0.024097
mat2.bin	65086	461286    	17		0.0254687
mat2.bin	65086	461286    	18		0.0280051
mat2.bin	65086	461286    	19		0.0280516
mat2.bin	65086	461286    	20		0.0268152
mat2.bin	65086	461286    	21		0.0258844
mat2.bin	65086	461286    	22		0.0224726
mat2.bin	65086	461286    	23		0.0190128
mat2.bin	65086	461286    	24		0.0188946

-------------------------------------------------------

mat3.bin	373315	7220836    	1		0.0659324
mat3.bin	373315	7220836    	2		0.032871
mat3.bin	373315	7220836    	3		0.0337771
mat3.bin	373315	7220836    	4		0.039417
mat3.bin	373315	7220836    	5		0.0402764
mat3.bin	373315	7220836    	6		0.0417597
mat3.bin	373315	7220836    	7		0.0460624
mat3.bin	373315	7220836    	8		0.0486624
mat3.bin	373315	7220836    	9		0.0443771
mat3.bin	373315	7220836    	10		0.0470123
mat3.bin	373315	7220836    	11		0.0510385
mat3.bin	373315	7220836    	12		0.052459
mat3.bin	373315	7220836    	13		0.0553961
mat3.bin	373315	7220836    	14		0.0535412
mat3.bin	373315	7220836    	15		0.0554379
mat3.bin	373315	7220836    	16		0.0570553
mat3.bin	373315	7220836    	17		0.0577144
mat3.bin	373315	7220836    	18		0.0614783
mat3.bin	373315	7220836    	19		0.0646647
mat3.bin	373315	7220836    	20		0.0721396
mat3.bin	373315	7220836    	21		0.0603459
mat3.bin	373315	7220836    	22		0.0709865
mat3.bin	373315	7220836    	23		0.0646097
mat3.bin	373315	7220836    	24		0.0579476

------------------------------------------------------------

mat4.bin	2096790	12720580    1		0.249697
mat4.bin	2096790	12720580    2		0.184096
mat4.bin	2096790	12720580    3		0.177721
mat4.bin	2096790	12720580    4		0.179029
mat4.bin	2096790	12720580    5		0.174316
mat4.bin	2096790	12720580    6		0.198231
mat4.bin	2096790	12720580    7		0.190325
mat4.bin	2096790	12720580    8		0.168178
mat4.bin	2096790	12720580    9		0.190421
mat4.bin	2096790	12720580    10		0.211959
mat4.bin	2096790	12720580    11		0.209791
mat4.bin	2096790	12720580    12		0.213226
mat4.bin	2096790	12720580    13		0.223308
mat4.bin	2096790	12720580    14		0.240592
mat4.bin	2096790	12720580    15		0.234086
mat4.bin	2096790	12720580    16		0.212154
mat4.bin	2096790	12720580    17		0.214349
mat4.bin	2096790	12720580    18		0.23339
mat4.bin	2096790	12720580    19		0.232221
mat4.bin	2096790	12720580    20		0.196865
mat4.bin	2096790	12720580    21		0.212595
mat4.bin	2096790	12720580    22		0.228985
mat4.bin	2096790	12720580    23		0.22578
mat4.bin	2096790	12720580    24		0.214988
